"AGE","SEX","GEO","HLTH_PB","TIME","ISCED11","UNIT","Value","Flag and Footnotes"
"Total","Total","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.7","e"
"Total","Total","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.9",""
"Total","Total","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.2",""
"Total","Total","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.3",""
"Total","Total","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.5",""
"Total","Total","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.9",""
"Total","Total","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.8",""
"Total","Total","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.4",""
"Total","Total","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.7",""
"Total","Total","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.0",""
"Total","Total","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.8",""
"Total","Total","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.3",""
"Total","Total","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.6",""
"Total","Total","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.7",""
"Total","Total","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.9",""
"Total","Total","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.3",""
"Total","Total","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.3",""
"Total","Total","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.7",""
"Total","Total","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.0",""
"Total","Total","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.3",""
"Total","Total","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.1",""
"Total","Total","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.6",""
"Total","Total","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.5",""
"Total","Total","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.4",""
"Total","Total","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.8",""
"Total","Total","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.2",""
"Total","Total","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.2",""
"Total","Total","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.8",""
"Total","Total","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.4",""
"Total","Total","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.8",""
"Total","Males","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.4","e"
"Total","Males","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.5",""
"Total","Males","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.4",""
"Total","Males","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.8",""
"Total","Males","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.9",""
"Total","Males","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.4",""
"Total","Males","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.6",""
"Total","Males","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.3",""
"Total","Males","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.3",""
"Total","Males","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.0",""
"Total","Males","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.7",""
"Total","Males","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.3",""
"Total","Males","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.6",""
"Total","Males","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.6",""
"Total","Males","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.4",""
"Total","Males","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.5",""
"Total","Males","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.4",""
"Total","Males","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.4",""
"Total","Males","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.5",""
"Total","Males","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.9",""
"Total","Males","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.9",""
"Total","Males","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.0",""
"Total","Males","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.1",""
"Total","Males","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.0",""
"Total","Males","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.1",""
"Total","Males","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.3",""
"Total","Males","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.4",""
"Total","Males","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.8",""
"Total","Males","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.8",""
"Total","Males","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.0",""
"Total","Females","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.9","e"
"Total","Females","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.1",""
"Total","Females","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.9",""
