"SEX","AGE","GEO","UNIT","TIME","ISCED11","Value","Flag and Footnotes"
"Total","Total","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","4.0",""
"Total","Total","Belgium","Percentage","2014","All ISCED 2011 levels ","9.8",""
"Total","Total","Bulgaria","Percentage","2014","All ISCED 2011 levels ","3.0",""
"Total","Total","Czechia","Percentage","2014","All ISCED 2011 levels ","2.1",""
"Total","Total","Denmark","Percentage","2014","All ISCED 2011 levels ","4.9",""
"Total","Total","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","2.6",""
"Total","Total","Estonia","Percentage","2014","All ISCED 2011 levels ","1.3",""
"Total","Total","Ireland","Percentage","2014","All ISCED 2011 levels ","2.9",""
"Total","Total","Greece","Percentage","2014","All ISCED 2011 levels ","3.2",""
"Total","Total","Spain","Percentage","2014","All ISCED 2011 levels ","3.8",""
"Total","Total","France","Percentage","2014","All ISCED 2011 levels ","9.3",""
"Total","Total","Croatia","Percentage","2014","All ISCED 2011 levels ","1.8",""
"Total","Total","Italy","Percentage","2014","All ISCED 2011 levels ","3.5",""
"Total","Total","Cyprus","Percentage","2014","All ISCED 2011 levels ","1.7",""
"Total","Total","Latvia","Percentage","2014","All ISCED 2011 levels ","1.9",""
"Total","Total","Lithuania","Percentage","2014","All ISCED 2011 levels ","1.7",""
"Total","Total","Luxembourg","Percentage","2014","All ISCED 2011 levels ","3.9",""
"Total","Total","Hungary","Percentage","2014","All ISCED 2011 levels ","3.1",""
"Total","Total","Malta","Percentage","2014","All ISCED 2011 levels ","5.7",""
"Total","Total","Netherlands","Percentage","2014","All ISCED 2011 levels ","6.9",""
"Total","Total","Austria","Percentage","2014","All ISCED 2011 levels ","1.7",""
"Total","Total","Poland","Percentage","2014","All ISCED 2011 levels ","2.2",""
"Total","Total","Portugal","Percentage","2014","All ISCED 2011 levels ","2.0",""
"Total","Total","Romania","Percentage","2014","All ISCED 2011 levels ","1.4",""
"Total","Total","Slovenia","Percentage","2014","All ISCED 2011 levels ","2.8",""
"Total","Total","Slovakia","Percentage","2014","All ISCED 2011 levels ","1.3",""
"Total","Total","Finland","Percentage","2014","All ISCED 2011 levels ","4.3",""
"Total","Total","Sweden","Percentage","2014","All ISCED 2011 levels ","1.9",""
"Total","Total","United Kingdom","Percentage","2014","All ISCED 2011 levels ","3.8",""
"Total","Total","Iceland","Percentage","2014","All ISCED 2011 levels ","6.0",""
"Total","Total","Norway","Percentage","2014","All ISCED 2011 levels ",":","u"
"Total","Total","Turkey","Percentage","2014","All ISCED 2011 levels ","0.5",""
"Total","From 15 to 24 years","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","1.3",""
"Total","From 15 to 24 years","Belgium","Percentage","2014","All ISCED 2011 levels ","1.9",""
"Total","From 15 to 24 years","Bulgaria","Percentage","2014","All ISCED 2011 levels ","1.7",""
"Total","From 15 to 24 years","Czechia","Percentage","2014","All ISCED 2011 levels ","0.1",""
"Total","From 15 to 24 years","Denmark","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 15 to 24 years","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 24 years","Estonia","Percentage","2014","All ISCED 2011 levels ","0",""
"Total","From 15 to 24 years","Ireland","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 24 years","Greece","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 15 to 24 years","Spain","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 15 to 24 years","France","Percentage","2014","All ISCED 2011 levels ","3.5",""
"Total","From 15 to 24 years","Croatia","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 15 to 24 years","Italy","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 15 to 24 years","Cyprus","Percentage","2014","All ISCED 2011 levels ","0",""
"Total","From 15 to 24 years","Latvia","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 24 years","Lithuania","Percentage","2014","All ISCED 2011 levels ","0.2",""
"Total","From 15 to 24 years","Luxembourg","Percentage","2014","All ISCED 2011 levels ","2.4",""
"Total","From 15 to 24 years","Hungary","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 24 years","Malta","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 24 years","Netherlands","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 15 to 24 years","Austria","Percentage","2014","All ISCED 2011 levels ","0.3",""
"Total","From 15 to 24 years","Poland","Percentage","2014","All ISCED 2011 levels ","0.3",""
"Total","From 15 to 24 years","Portugal","Percentage","2014","All ISCED 2011 levels ","0.3",""
"Total","From 15 to 24 years","Romania","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 15 to 24 years","Slovenia","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 24 years","Slovakia","Percentage","2014","All ISCED 2011 levels ","0",""
"Total","From 15 to 24 years","Finland","Percentage","2014","All ISCED 2011 levels ","0.1",""
"Total","From 15 to 24 years","Sweden","Percentage","2014","All ISCED 2011 levels ","1.0",""
"Total","From 15 to 24 years","United Kingdom","Percentage","2014","All ISCED 2011 levels ","2.5",""
"Total","From 15 to 24 years","Iceland","Percentage","2014","All ISCED 2011 levels ","3.0",""
"Total","From 15 to 24 years","Norway","Percentage","2014","All ISCED 2011 levels ",":","u"
"Total","From 15 to 24 years","Turkey","Percentage","2014","All ISCED 2011 levels ","0.2",""
"Total","From 15 to 29 years","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","1.8",""
"Total","From 15 to 29 years","Belgium","Percentage","2014","All ISCED 2011 levels ","2.8",""
"Total","From 15 to 29 years","Bulgaria","Percentage","2014","All ISCED 2011 levels ","1.0",""
"Total","From 15 to 29 years","Czechia","Percentage","2014","All ISCED 2011 levels ","0.2",""
"Total","From 15 to 29 years","Denmark","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 15 to 29 years","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","1.4",""
"Total","From 15 to 29 years","Estonia","Percentage","2014","All ISCED 2011 levels ","0",""
"Total","From 15 to 29 years","Ireland","Percentage","2014","All ISCED 2011 levels ","1.0",""
"Total","From 15 to 29 years","Greece","Percentage","2014","All ISCED 2011 levels ","1.3",""
"Total","From 15 to 29 years","Spain","Percentage","2014","All ISCED 2011 levels ","0.9",""
"Total","From 15 to 29 years","France","Percentage","2014","All ISCED 2011 levels ","4.6",""
"Total","From 15 to 29 years","Croatia","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 15 to 29 years","Italy","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 29 years","Cyprus","Percentage","2014","All ISCED 2011 levels ","0",""
"Total","From 15 to 29 years","Latvia","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 29 years","Lithuania","Percentage","2014","All ISCED 2011 levels ","0.5",""
"Total","From 15 to 29 years","Luxembourg","Percentage","2014","All ISCED 2011 levels ","2.6",""
"Total","From 15 to 29 years","Hungary","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 15 to 29 years","Malta","Percentage","2014","All ISCED 2011 levels ","0.7",""
"Total","From 15 to 29 years","Netherlands","Percentage","2014","All ISCED 2011 levels ","2.3",""
"Total","From 15 to 29 years","Austria","Percentage","2014","All ISCED 2011 levels ","0.5",""
"Total","From 15 to 29 years","Poland","Percentage","2014","All ISCED 2011 levels ","0.6",""
"Total","From 15 to 29 years","Portugal","Percentage","2014","All ISCED 2011 levels ","0.3",""
"Total","From 15 to 29 years","Romania","Percentage","2014","All ISCED 2011 levels ","0.5",""
"Total","From 15 to 29 years","Slovenia","Percentage","2014","All ISCED 2011 levels ","1.5",""
"Total","From 15 to 29 years","Slovakia","Percentage","2014","All ISCED 2011 levels ","0",""
"Total","From 15 to 29 years","Finland","Percentage","2014","All ISCED 2011 levels ","0.5",""
"Total","From 15 to 29 years","Sweden","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 15 to 29 years","United Kingdom","Percentage","2014","All ISCED 2011 levels ","3.4",""
"Total","From 15 to 29 years","Iceland","Percentage","2014","All ISCED 2011 levels ","4.5",""
"Total","From 15 to 29 years","Norway","Percentage","2014","All ISCED 2011 levels ",":","u"
"Total","From 15 to 29 years","Turkey","Percentage","2014","All ISCED 2011 levels ","0.2",""
"Total","From 15 to 44 years","European Union (current composition)","Percentage","2014","All ISCED 2011 levels ","2.0",""
"Total","From 15 to 44 years","Belgium","Percentage","2014","All ISCED 2011 levels ","5.2",""
"Total","From 15 to 44 years","Bulgaria","Percentage","2014","All ISCED 2011 levels ","1.3",""
"Total","From 15 to 44 years","Czechia","Percentage","2014","All ISCED 2011 levels ","0.2",""
"Total","From 15 to 44 years","Denmark","Percentage","2014","All ISCED 2011 levels ","2.0",""
"Total","From 15 to 44 years","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","2.0",""
"Total","From 15 to 44 years","Estonia","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 15 to 44 years","Ireland","Percentage","2014","All ISCED 2011 levels ","1.2",""
"Total","From 15 to 44 years","Greece","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 15 to 44 years","Spain","Percentage","2014","All ISCED 2011 levels ","1.1",""
"Total","From 15 to 44 years","France","Percentage","2014","All ISCED 2011 levels ","5.3",""
"Total","From 15 to 44 years","Croatia","Percentage","2014","All ISCED 2011 levels ","0.4",""
"Total","From 15 to 44 years","Italy","Percentage","2014","All ISCED 2011 levels ","0.8",""
"Total","From 15 to 44 years","Cyprus","Percentage","2014","All ISCED 2011 levels ","0.2",""
"Total","From 15 to 44 years","Latvia","Percentage","2014","All ISCED 2011 levels ","0.6",""
