"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2000","2000","USD","US Dollar","0","Units","2017","2017",45188.0031051172,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2001","2001","USD","US Dollar","0","Units","2017","2017",45068.9903074612,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2002","2002","USD","US Dollar","0","Units","2017","2017",45732.5834869296,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2003","2003","USD","US Dollar","0","Units","2017","2017",45854.5244699377,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2004","2004","USD","US Dollar","0","Units","2017","2017",46723.2221747289,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2005","2005","USD","US Dollar","0","Units","2017","2017",46963.2346598264,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2006","2006","USD","US Dollar","0","Units","2017","2017",47654.1500606673,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2007","2007","USD","US Dollar","0","Units","2017","2017",47895.2314113613,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2008","2008","USD","US Dollar","0","Units","2017","2017",48739.8569797832,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2009","2009","USD","US Dollar","0","Units","2017","2017",49520.7788557193,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2010","2010","USD","US Dollar","0","Units","2017","2017",49315.9163089574,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2011","2011","USD","US Dollar","0","Units","2017","2017",48809.4621652132,,
"AUT","Austria","USDPPP","In 2017 constant prices at 2017 USD PPPs","2012","2012","USD","US Dollar","0","Units","2017","2017",49046.7076455864,,
