"TIME","GEO","UNIT","FACILITY","Value","Flag and Footnotes"
"2000","European Union (current composition)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2000","Belgium","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","670.97",""
"2000","Bulgaria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","741.13",""
"2000","Czechia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","778.65","b"
"2000","Denmark","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","429.38",""
"2000","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","911.64",""
"2000","Estonia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","717.63",""
"2000","Ireland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","613.22",""
"2000","Greece","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","471.72",""
"2000","Spain","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","367.78",""
"2000","France","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","797.01",""
"2000","Croatia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","603.25",""
"2000","Italy","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","470.75",""
"2000","Cyprus","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","452.29",""
"2000","Latvia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","875.40","b"
"2000","Lithuania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","883.32",""
"2000","Luxembourg","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2000","Hungary","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","815.51",""
"2000","Malta","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","547.68",""
"2000","Netherlands","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","482.62",""
"2000","Austria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","794.78",""
"2000","Poland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2000","Portugal","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","373.22",""
"2000","Romania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","769.31",""
"2000","Slovenia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","540.24",""
"2000","Slovakia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","785.59",""
"2000","Finland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","753.97","b"
"2000","Sweden","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","358.03",""
"2000","United Kingdom","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","407.77",""
"2000","Iceland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2000","Liechtenstein","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","287.95",""
"2000","Norway","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","379.70",""
"2000","Switzerland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","628.74",""
"2000","Montenegro","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2000","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","505.74",""
"2000","Albania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","331.99",""
"2000","Serbia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2000","Turkey","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","200.24",""
"2001","European Union (current composition)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2001","Belgium","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","662.51",""
"2001","Bulgaria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","710.50",""
"2001","Czechia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","775.21",""
"2001","Denmark","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","421.81",""
"2001","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","900.95",""
"2001","Estonia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","671.50",""
"2001","Ireland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","586.05",""
"2001","Greece","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","477.41",""
"2001","Spain","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","359.45",""
"2001","France","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","782.70",""
"2001","Croatia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","599.27",""
"2001","Italy","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","461.34",""
"2001","Cyprus","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2001","Latvia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","821.61",""
"2001","Lithuania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","830.81",""
"2001","Luxembourg","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2001","Hungary","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","791.80",""
"2001","Malta","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","756.69","b"
"2001","Netherlands","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","465.06","b"
"2001","Austria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","784.78",""
"2001","Poland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2001","Portugal","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","367.33",""
"2001","Romania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","783.40",""
"2001","Slovenia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","516.35",""
"2001","Slovakia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","766.87",""
"2001","Finland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","746.24",""
"2001","Sweden","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","327.36","b"
"2001","United Kingdom","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","403.74",""
"2001","Iceland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2001","Liechtenstein","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","283.18",""
"2001","Norway","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","381.66",""
"2001","Switzerland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","603.65",""
"2001","Montenegro","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2001","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","493.64",""
"2001","Albania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","325.04",""
"2001","Serbia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2001","Turkey","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","205.82",""
"2002","European Union (current composition)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2002","Belgium","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","655.60",""
"2002","Bulgaria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","648.54",""
"2002","Czechia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","775.88",""
"2002","Denmark","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","428.58",""
"2002","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","887.30",""
"2002","Estonia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","607.08",""
"2002","Ireland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","578.14",""
"2002","Greece","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","471.27",""
"2002","Spain","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","353.64",""
"2002","France","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","771.25",""
"2002","Croatia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","566.81",""
"2002","Italy","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","443.36",""
"2002","Cyprus","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2002","Latvia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","777.12",""
"2002","Lithuania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","804.02",""
"2002","Luxembourg","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2002","Hungary","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","791.05",""
"2002","Malta","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","748.29",""
"2002","Netherlands","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","457.08",""
"2002","Austria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","780.65",""
"2002","Poland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2002","Portugal","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","358.42",""
"2002","Romania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","766.40",""
"2002","Slovenia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","508.74",""
"2002","Slovakia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","756.90",""
"2002","Finland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","735.15",""
"2002","Sweden","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","312.89",""
"2002","United Kingdom","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","398.15",""
"2002","Iceland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2002","Liechtenstein","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","278.98",""
"2002","Norway","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","499.37","b"
"2002","Switzerland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","594.50",""
"2002","Montenegro","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2002","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","481.01",""
"2002","Albania","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","313.14",""
"2002","Serbia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",":",""
"2002","Turkey","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","214.38",""
