"INDIC_DE","GEO","TIME","Value","Flag and Footnotes"
"Average population - total","European Union (current composition)","2014","507,659,760","e"
"Average population - total","European Union (before the accession of Croatia)","2014","503,423,697","e"
"Average population - total","Belgium","2014","11,209,057",""
"Average population - total","Bulgaria","2014","7,223,938",""
"Average population - total","Czechia","2014","10,525,347",""
"Average population - total","Denmark","2014","5,643,475",""
"Average population - total","Germany including former GDR","2014","80,982,500",""
"Average population - total","Estonia","2014","1,314,545",""
"Average population - total","Ireland","2014","4,657,740",""
"Average population - total","Greece","2014","10,892,413",""
"Average population - total","Spain","2014","46,480,882",""
"Average population - total","France","2014","66,084,116",""
"Average population - total","Croatia","2014","4,236,063",""
"Average population - total","Italy","2014","60,789,140",""
"Average population - total","Cyprus","2014","852,504",""
"Average population - total","Latvia","2014","1,993,782",""
"Average population - total","Lithuania","2014","2,932,367",""
"Average population - total","Luxembourg","2014","556,319",""
"Average population - total","Hungary","2014","9,866,468",""
"Average population - total","Malta","2014","434,558",""
"Average population - total","Netherlands","2014","16,865,008",""
"Average population - total","Austria","2014","8,546,356",""
"Average population - total","Poland","2014","38,011,735",""
"Average population - total","Portugal","2014","10,401,062",""
"Average population - total","Romania","2014","19,908,979","e"
"Average population - total","Slovenia","2014","2,061,980",""
"Average population - total","Slovakia","2014","5,418,649",""
"Average population - total","Finland","2014","5,461,512",""
"Average population - total","Sweden","2014","9,696,110",""
"Average population - total","United Kingdom","2014","64,613,160",""
"Average population - total","Iceland","2014","327,386",""
"Average population - total","Liechtenstein","2014","37,248",""
"Average population - total","Norway","2014","5,137,232",""
"Average population - total","Switzerland","2014","8,188,649",""
"Average population - total","Montenegro","2014","621,810",""
"Average population - total","Former Yugoslav Republic of Macedonia, the","2014","2,067,471",""
"Average population - total","Albania","2014","2,889,095",""
"Average population - total","Serbia","2014","7,130,576",""
"Average population - total","Turkey","2014","77,181,884",""
"Average population - total","Andorra","2014",":",""
"Average population - total","Belarus","2014","9,474,511",""
"Average population - total","Bosnia and Herzegovina","2014",":","p"
"Average population - total","Kosovo (under United Nations Security Council Resolution 1244/99)","2014","1,812,788","be"
"Average population - total","Moldova","2014","3,556,397",""
"Average population - total","Monaco","2014",":",""
"Average population - total","Russia","2014",":",""
"Average population - total","San Marino","2014","32,655",""
"Average population - total","Ukraine","2014",":",""
"Average population - total","Armenia","2014",":",""
"Average population - total","Azerbaijan","2014","9,535,079",""
"Average population - total","Georgia","2014","4,109,999","be"
