"ISCO08","TIME","GEO","UNIT","Value","Flag and Footnotes"
"Medical doctors","2000","European Union (current composition)","Per hundred thousand inhabitants","9.50",""
"Medical doctors","2000","Belgium","Per hundred thousand inhabitants","10.14",""
"Medical doctors","2000","Bulgaria","Per hundred thousand inhabitants","11.32",""
"Medical doctors","2000","Czechia","Per hundred thousand inhabitants","7.86",""
"Medical doctors","2000","Denmark","Per hundred thousand inhabitants","10.69",""
"Medical doctors","2000","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","11.15",""
"Medical doctors","2000","Estonia","Per hundred thousand inhabitants","4.82",""
"Medical doctors","2000","Ireland","Per hundred thousand inhabitants","14.35",""
"Medical doctors","2000","Greece","Per hundred thousand inhabitants",":",""
"Medical doctors","2000","Spain","Per hundred thousand inhabitants","10.49",""
"Medical doctors","2000","France","Per hundred thousand inhabitants","6.48",""
"Medical doctors","2000","Croatia","Per hundred thousand inhabitants","10.07",""
"Medical doctors","2000","Italy","Per hundred thousand inhabitants","11.51",""
"Medical doctors","2000","Cyprus","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2000","Latvia","Per hundred thousand inhabitants","3.58",""
"Medical doctors","2000","Lithuania","Per hundred thousand inhabitants","6.89",""
"Medical doctors","2000","Luxembourg","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2000","Hungary","Per hundred thousand inhabitants","9.25",""
"Medical doctors","2000","Malta","Per hundred thousand inhabitants",":",""
"Medical doctors","2000","Netherlands","Per hundred thousand inhabitants","8.90",""
"Medical doctors","2000","Austria","Per hundred thousand inhabitants","18.65",""
"Medical doctors","2000","Poland","Per hundred thousand inhabitants","6.03",""
"Medical doctors","2000","Portugal","Per hundred thousand inhabitants","5.91",""
"Medical doctors","2000","Romania","Per hundred thousand inhabitants","14.60",""
"Medical doctors","2000","Slovenia","Per hundred thousand inhabitants","5.28",""
"Medical doctors","2000","Slovakia","Per hundred thousand inhabitants","10.80",""
"Medical doctors","2000","Finland","Per hundred thousand inhabitants","7.79",""
"Medical doctors","2000","Sweden","Per hundred thousand inhabitants","9.06",""
"Medical doctors","2000","United Kingdom","Per hundred thousand inhabitants","7.53",""
"Medical doctors","2000","Iceland","Per hundred thousand inhabitants","11.74",""
"Medical doctors","2000","Liechtenstein","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2000","Norway","Per hundred thousand inhabitants","9.08",""
"Medical doctors","2000","Switzerland","Per hundred thousand inhabitants","10.52",""
"Medical doctors","2000","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","7.95",""
"Medical doctors","2000","Albania","Per hundred thousand inhabitants","4.90",""
"Medical doctors","2000","Serbia","Per hundred thousand inhabitants","12.57",""
"Medical doctors","2000","Turkey","Per hundred thousand inhabitants","7.68",""
"Medical doctors","2001","European Union (current composition)","Per hundred thousand inhabitants","9.34",""
"Medical doctors","2001","Belgium","Per hundred thousand inhabitants","11.13",""
"Medical doctors","2001","Bulgaria","Per hundred thousand inhabitants","10.84",""
"Medical doctors","2001","Czechia","Per hundred thousand inhabitants","9.02","b"
"Medical doctors","2001","Denmark","Per hundred thousand inhabitants","12.33",""
"Medical doctors","2001","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","10.87",""
"Medical doctors","2001","Estonia","Per hundred thousand inhabitants","6.52",""
"Medical doctors","2001","Ireland","Per hundred thousand inhabitants","14.28",""
"Medical doctors","2001","Greece","Per hundred thousand inhabitants","12.68",""
"Medical doctors","2001","Spain","Per hundred thousand inhabitants","10.06",""
"Medical doctors","2001","France","Per hundred thousand inhabitants","5.94",""
"Medical doctors","2001","Croatia","Per hundred thousand inhabitants","9.12",""
"Medical doctors","2001","Italy","Per hundred thousand inhabitants","11.26",""
"Medical doctors","2001","Cyprus","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2001","Latvia","Per hundred thousand inhabitants","3.86",""
"Medical doctors","2001","Lithuania","Per hundred thousand inhabitants","7.24",""
"Medical doctors","2001","Luxembourg","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2001","Hungary","Per hundred thousand inhabitants","9.95",""
"Medical doctors","2001","Malta","Per hundred thousand inhabitants","13.49",""
"Medical doctors","2001","Netherlands","Per hundred thousand inhabitants","8.87",""
"Medical doctors","2001","Austria","Per hundred thousand inhabitants","12.86",""
"Medical doctors","2001","Poland","Per hundred thousand inhabitants","6.44",""
"Medical doctors","2001","Portugal","Per hundred thousand inhabitants","5.76",""
"Medical doctors","2001","Romania","Per hundred thousand inhabitants","15.64",""
"Medical doctors","2001","Slovenia","Per hundred thousand inhabitants","6.12",""
"Medical doctors","2001","Slovakia","Per hundred thousand inhabitants","9.83",""
"Medical doctors","2001","Finland","Per hundred thousand inhabitants","7.15",""
"Medical doctors","2001","Sweden","Per hundred thousand inhabitants","9.13",""
"Medical doctors","2001","United Kingdom","Per hundred thousand inhabitants","7.22",""
"Medical doctors","2001","Iceland","Per hundred thousand inhabitants","11.93",""
"Medical doctors","2001","Liechtenstein","Per hundred thousand inhabitants","0.00",""
"Medical doctors","2001","Norway","Per hundred thousand inhabitants","9.17",""
"Medical doctors","2001","Switzerland","Per hundred thousand inhabitants","10.84",""
"Medical doctors","2001","Former Yugoslav Republic of Macedonia, the","Per hundred thousand inhabitants","6.09",""
"Medical doctors","2001","Albania","Per hundred thousand inhabitants","4.68",""
