"ISCO08","TIME","GEO","UNIT","Value","Flag and Footnotes"
"Medical doctors","2000","Belgium","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Bulgaria","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Czechia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Denmark","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Germany (until 1990 former territory of the FRG)","Full time equivalent per hundred thousand inhabitants","142.32",""
"Medical doctors","2000","Estonia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Ireland","Full time equivalent per hundred thousand inhabitants","111.11",""
"Medical doctors","2000","Greece","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Spain","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","France","Full time equivalent per hundred thousand inhabitants","141.50",""
"Medical doctors","2000","Croatia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Italy","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Cyprus","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Latvia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Lithuania","Full time equivalent per hundred thousand inhabitants","248.60",""
"Medical doctors","2000","Luxembourg","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Hungary","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Malta","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Netherlands","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Austria","Full time equivalent per hundred thousand inhabitants","213.94",""
"Medical doctors","2000","Poland","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Portugal","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Romania","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Slovenia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Slovakia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Finland","Full time equivalent per hundred thousand inhabitants","133.89",""
"Medical doctors","2000","United Kingdom","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Iceland","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Liechtenstein","Full time equivalent per hundred thousand inhabitants","14.86",""
"Medical doctors","2000","Norway","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Switzerland","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Montenegro","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Former Yugoslav Republic of Macedonia, the","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Albania","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Serbia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2000","Turkey","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Belgium","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Bulgaria","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Czechia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Denmark","Full time equivalent per hundred thousand inhabitants","201.99",""
"Medical doctors","2001","Germany (until 1990 former territory of the FRG)","Full time equivalent per hundred thousand inhabitants","143.29",""
"Medical doctors","2001","Estonia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Ireland","Full time equivalent per hundred thousand inhabitants","120.61",""
"Medical doctors","2001","Greece","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Spain","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","France","Full time equivalent per hundred thousand inhabitants","145.51",""
"Medical doctors","2001","Croatia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Italy","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Cyprus","Full time equivalent per hundred thousand inhabitants","66.71",""
"Medical doctors","2001","Latvia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Lithuania","Full time equivalent per hundred thousand inhabitants","247.70",""
"Medical doctors","2001","Luxembourg","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Hungary","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Malta","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Netherlands","Full time equivalent per hundred thousand inhabitants","105.43",""
"Medical doctors","2001","Austria","Full time equivalent per hundred thousand inhabitants","218.37",""
"Medical doctors","2001","Poland","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Portugal","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Romania","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Slovenia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Slovakia","Full time equivalent per hundred thousand inhabitants",":",""
"Medical doctors","2001","Finland","Full time equivalent per hundred thousand inhabitants","132.63",""
"Medical doctors","2001","United Kingdom","Full time equivalent per hundred thousand inhabitants",":",""
