"AGE","GEO","UNIT","TIME","SEX","ICD10","RESID","Value","Flag and Footnotes"
"Less than 1 day","European Union (current composition)","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","27.44",""
"Less than 1 day","Belgium","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","27.19",""
"Less than 1 day","Bulgaria","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","17.18",""
"Less than 1 day","Czechia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","16.79",""
"Less than 1 day","Denmark","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","43.23",""
"Less than 1 day","Germany (until 1990 former territory of the FRG)","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","36.26",""
"Less than 1 day","Estonia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","20.59",""
"Less than 1 day","Ireland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","33.19",""
"Less than 1 day","Greece","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","22.42",""
"Less than 1 day","Spain","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","26.16",""
"Less than 1 day","France","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","26.37",""
"Less than 1 day","Croatia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","35.15",""
"Less than 1 day","Italy","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","8,400",""
"Less than 1 day","Cyprus","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","27.78",""
"Less than 1 day","Latvia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","54.76",""
"Less than 1 day","Lithuania","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","25",""
"Less than 1 day","Luxembourg","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","33.33",""
"Less than 1 day","Hungary","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","13.33",""
"Less than 1 day","Malta","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","42.86",""
"Less than 1 day","Netherlands","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","30.03",""
"Less than 1 day","Austria","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","48.02",""
"Less than 1 day","Poland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","29.83",""
"Less than 1 day","Portugal","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","0",""
"Less than 1 day","Romania","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","11.52",""
"Less than 1 day","Slovenia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","23.68",""
"Less than 1 day","Slovakia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","17.28",""
"Less than 1 day","Finland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","25.2",""
"Less than 1 day","Sweden","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","25.6",""
"Less than 1 day","United Kingdom","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","32.94",""
"Less than 1 day","Iceland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country",":","c"
"Less than 1 day","Liechtenstein","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","0",""
"Less than 1 day","Norway","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","28.17",""
"Less than 1 day","Switzerland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","52.74",""
"Less than 1 day","Serbia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","26.58",""
"Less than 1 day","Turkey","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","12.79",""
"From 1 to 6 days","European Union (current composition)","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","22.95",""
"From 1 to 6 days","Belgium","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","21.28",""
"From 1 to 6 days","Bulgaria","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","23.75",""
"From 1 to 6 days","Czechia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","26.72",""
"From 1 to 6 days","Denmark","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","25.33",""
"From 1 to 6 days","Germany (until 1990 former territory of the FRG)","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","21",""
"From 1 to 6 days","Estonia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","17.65",""
"From 1 to 6 days","Ireland","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","20.96",""
"From 1 to 6 days","Greece","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","25.66",""
"From 1 to 6 days","Spain","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","23.17",""
"From 1 to 6 days","France","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","22.35",""
"From 1 to 6 days","Croatia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","25.25",""
"From 1 to 6 days","Italy","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","9,200",""
"From 1 to 6 days","Cyprus","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","33.33",""
"From 1 to 6 days","Latvia","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","0",""
"From 1 to 6 days","Lithuania","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","18.1",""
"From 1 to 6 days","Luxembourg","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","26.67",""
"From 1 to 6 days","Hungary","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","25.24",""
"From 1 to 6 days","Malta","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","28.57",""
"From 1 to 6 days","Netherlands","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","24.54",""
"From 1 to 6 days","Austria","Percentage","2014","Total","All causes of death (A00-Y89) excluding S00-T98","All deaths of residents in or outside their home country","15.08",""
